abandon   v.抛弃，放弃=1
curtail   n.削减，剥夺=0
curtain   n.窗帘，幕布=0
curve   n.曲线，弯曲=0
cushion   n.垫子，靠垫=0
custody   n.保管，监护=0
custom   n.风俗，习惯=0
customary   adj.习惯的，通常的=0
customer   n.顾客，主顾=0
customs   n.海关=0
cut   v.割，切，削减，切断=0
cutlery   n.刀具，餐刀=0
cutter   n.刀具，裁剪者=0
cutting   n.切片，剪辑=0
cycle   n.周期，循环，自行车=0
cyclist   n.自行车运动员=0
cylinder   n.圆筒，柱，汽缸=0
d/a   n.(缩)承兑交单=0
dacron   n.涤纶=0
dad   n.爸爸=0
dagger   n.匕首=0
daily   adj.每日的 adv.天天=0
dainty   adj.优雅，考究=0
dairy   n.奶牛场，乳品商店=0
dam   n.坝=0
damage   v.,n.损害，破坏=0
damn   v.,n.诅咒=0
damp   adj.潮湿的 n.潮气=0
dance   v.跳舞 n.舞蹈=0
dancer   n.舞蹈者，舞蹈演员=0
danger   n.危险，威胁=0
dangerous   adj.有危险的=0
danish   adj.,n.丹麦人(的)=0
denmark   n.丹麦=0
dare   v.敢，挑战，竟敢=0
daring   adj.大胆的，勇敢的=0
dark   adj.黑暗的 n.暗处=0
darken   v.变黑，转暗=0
darkness   n.黑暗=0
darling   n.爱人 adj.心爱的=0
dart   n.飞标游戏=0
dash   v.猛冲,泼溅 n.破折号=0
data   n.(复数)资料，数据=0
date   n.日期 v.注日期=0
dating   n.约会=0
daughter   n.女儿=0
daughter-in-law   n.儿媳=0
dawn   n.黎明，开端=0
day   n.一天，白天=0
daybreak   n.破晓=0
daylight   n.日光，白昼=0
daytime   n.日间=0
daze   v.耀眼，使迷乱=0
dazzle   v.使...眼花缭乱=0
dazzling   adj.令人目眩的=0
dead   adj.死的 n.死者=0
deadline   n.期限=0
deadly   adj.致命的，死一般的=0
deaf   adj.聋的=0
deafen   v.使...聋，震聋=0
deal   v.处理，交易 n.买卖=0
dealer   n.商人，贩子=0
dealing   n.交往，生意=0
dean   n.系主任=0
dear   adj.亲爱的，敬爱的=0
death   n.死，死亡=0
deathly   adj.致死的=0
debate   v.,n.辩论，讨论=0
debit   n.借方=0
debt   n.债，债务=0
decade   n.十年=0
decay   v.,n.腐烂，衰败=0
deceased   adj.已死的=0
deceit   n.欺骗，欺诈行为=0
deceive   v.欺骗=0
deception   n.欺诈=0
deceitful   adj.欺骗性的=0
december   n.十二月=0
decency   n.体面=0
decent   adj.体面的，象样的=0
decide   v.决定，判决=0
decided   adj.明确的，果断的=0
decidedly   adv.明确地，果断的=0
decimal   adj.十进制的，小数的=0
decision   n.决定，决议=0
decisive   adj.决定性，明确的=0
deck   n.甲板=0
declaration   n.宣布，宣告=0
declare   v.宣布，声明=0
decline   v.婉谢，推辞 n.衰落=0
declining   adj.下降的，衰落的=0
decompose   v.分解，腐烂=0
decorate   v.装饰=0
decoration   n.装饰物=0
decorative   adj.装饰的，装璜的=0
decrease   v.,n.减少=0
decree   n.法令 v.判决=0
dedicate   v.奉献，致力=0
deduce   v.演绎，推断=0
deduct   v.减=0
deduction   n.推断，减少=0
deed   n.行为，契据=0
deem   v.以为，认为=0
deep   adj.深的，深远的=0
deepen   v.加深，深化=0
deeply   adv.深深的，深切地=0
deer   n.鹿=0
default   n.,v.不履行，不负责=0
defeat   v.击败 n.失败=0
defect   n.缺点，缺陷=0
defective   adj.有缺点的=0
defence   n.保卫，防御=0
defend   v.保卫，为...辩护=0
defer   v.拖延=0
defiance   n.蔑视，挑战=0
defiant   adj.无礼的，挑战的=0
deficiency   n.缺乏=0
deficient   adj.缺乏的，不足的=0
deficit   n.赤字=0
define   v.下定义，界定，规定=0
definite   adj.明确的，限定的=0
definitely   adv.明确地，肯定地=0
definition   n.定义，解释=0
definitive   adv.定义的=0
deflate   v.收缩，紧缩=0
deflect   v.偏斜=0
deflection   n.偏转，偏斜=0
deform   v.使变形，使残废=0
deformation   n.变形=0
defray   v.支付=0
defy   v.反抗，蔑视，使不能=0
degradation   n.降低，恶化=0
degrade   v.败低，下降，堕落=0
degree   n.程度，度，学位=0
delay   v.,n.耽搁，延误=0
del credere   n.保付=0
delegate   n.代表 n.委派=0
delegation   n.代表团=0
delete   v.删除=0
deletion   n.删除=0
deliberate   adj.故意的，审慎的=0
deliberately   adv.故意地，从容地=0
deliberation   n.慎重，故意=0
delicacy   n.精致=0
delicate   adj.优雅的，精致的=0
delicious   adj.美味的=0
delight   n.快乐，乐事 n.喜爱=0
delightful   adj.令人高兴的=0
delinquency   n.轻微犯罪=0
delinquent   adj.拖欠的=0
deliver   v.交付，递送，讲述=0
deliverance   n.救助=0
delivery   n.交付，递送，讲述=0
delusion   n.错觉=0
delusive   adj.令人产生错觉的=0
demand   v.,n.要求，需求=0
demanding   adj.对人要求严格的=0
democracy   n.民主，民主政体=0
democrat   n.民主党人=0
democratic   adj.民主的=0
demolish   v.拆除=0
demolition   n.拆除=0
demonstrate   v.论证，演示，表明=0
demonstration   n.示范，表演，示威=0
demurrage   n.滞期费=0
den   n.窝=0
denial   n.拒绝，否定=0
denominate   v.为...命名=0
denomination   n.命名=0
denote   v.表示=0
denounce   v.谴责，斥责=0
dense   adj.稠密的，浓厚的=0
density   n.密度，稠密=0
dent   n.牙，槽，凹陷=0
dentist   n.牙科医生=0
deny   v.否认，拒绝=0
depart   v.离去，出发，违反=0
department   n.部，部门，系=0
departure   n.离开，违背=0
depend   v.依靠，依赖=0
dependability   n.可依赖性=0
dependable   adj.可依赖的=0
dependant   n.受赡养者=0
dependence   n.依靠，依赖=0
dependent   adj.依靠的，随..而定=0
depict   v.描述，描画=0
depiction   n.描述=0
deplete   v.减少，耗尽=0
deposit   v.存放，储蓄 n.存款=0
deposition   n.免职，罢官=0
depreciate   v.降价，贬值，折旧=0
depreciation   n.折旧，贬值=0
depress   v.抑制，使人抑郁=0
depressed   adj.情绪低落的=0
depression   n.沮丧，萧条=0
deprive   v.剥夺，丧失=0
depth   n.深度=0
deputy   n.代表 adj.副职的=0
derivation   n.起源，衍生物=0
derive   v.从...而来，得来=0
derrick   n.钻塔，井架=0
descend   v.降临，下来，遗传=0
descendant   n.子孙，后裔=0
descent   n.下降，血统=0
describe   v.描写，作图=0
description   n.描述，形容=0
desert   v.遗弃，擅离 n.沙漠=0
deserve   v.应受，值得=0
design   v.设计，旨在 n.设计=0
designate   v.指明，指定=0
designation   n.指定，委派=0
designer   n.设计者=0
desirable   adj.合乎要求的=0
desire   n.欲望，要求 v.要求=0
desk   n.课桌，写字台=0
desolate   adj.荒芜的，凄凉的=0
desolation   n.荒凉，凄凉=0
despair   n.,v.绝望=0
desperate   adj.不顾一切的=0
desperation   n.绝望=0
despise   v.鄙视，看不起=0
despite   prep.不管，任凭=0
dessert   n.(最后一道)甜食=0
destination   n.终点，目的地=0
destine   v.注定，预定=0
destiny   n.命运，定数=0
destroy   v.破坏，摧毁，消灭=0
destruction   n.破坏，毁灭=0
destructive   adj.破坏性的=0
detach   v.分离，拆开=0
detail   n.细节=0
detailed   adj.详细的，详尽的=0
detain   v.留住，阻止=0
detect   v.发现，侦察=0
detection   n.发现，侦查=0
detective   n.侦探=0
deteriorate   v.恶化，败坏=0
deterioration   n.退化=0
determination   n.决心，决定=0
determine   v.决心，决定，测定=0
detour   v.绕道，绕开=0
detract   v.降低=0
detriment   n.损害=0
detrimental   adj.有害的=0
devaluation   n.贬值=0
devalue   v.贬值=0
develop   v.发展，开发，成长=0
developing   adj.发展中的=0
development   n.进展，发展=0
deviate   v.背离=0
deviation   n.背离，偏向=0
device   n.装置，方法=0
devil   n.魔鬼，恶人=0
devise   v.设计，计划=0
devote   v.奉献，贡献=0
devoted   adj.献身于...的=0
devotion   n.献身，专心=0
devour   v.吞吃，吞没=0
dew   n.露水=0
diagnose   v.诊断=0
diagnosis   n.诊断=0
diagram   n.图表，图解=0
dial   n.钟盘 v.拨电话=0
dialect   n.方言=0
dialog   n.对话，对白=0
diameter   n.直径=0
diamond   n.钻石，金刚石=0
diary   n.日记=0
dictate   v.口授，命令=0
dictation   n.口授，听写=0
dictator   n.独裁者=0
dictatorship   n.独裁，专政=0
diction   n.措辞=0
dictionary   n.词典，字典=0
die   v.死，消亡=0
diesel   n.内燃机，柴油机=0
diet   n.饮食，节食=0
differ   v.不同，相异=0
difference   n.差异，差别=0
different   adj.不同的，各种=0
differential   adj.有差别的=0
differently   adv.不同地=0
difficult   adj.困难的=0
difficulty   n.困难，难题=0
dig   v.挖，采掘=0
digest   v.消化 n.摘要=0
digestion   n.消化=0
digit   n.数字=0
digital   adj.数字的=0
dignity   n.尊贵，尊严=0
dike   n.堤=0
dilute   v.稀释=0
diligent   adj.勤奋的，用功的=0
dim   adj.暗淡的，模糊的=0
dime   n.(美元)一角=0
dimension   n.维，方面，尺寸=0
dimensional   adj.尺寸的=0
diminish   v.减少，缩小=0
dine   v.用餐=0
dining-room   n.餐厅=0
dingy   adj.肮脏的=0
dinner   n.正餐，晚餐，宴会=0
dip   v.,n.蘸，浸=0
diploma   n.毕业文凭，学位证书=0
diplomacy   n.外交=0
diplomat   n.外交人员=0
diplomatic   n.外交的=0
direct   v.支配，指挥，对准=0
direction   n.方向，指示，说明=0
directive   n.命令，指令=0
directly   adv.直接地，立即=0
director   n.指导者，导演，领导=0
directory   n.目录，地址录=0
dirt   n.尘埃，灰尘，泥土=0
dirty   adj.肮脏的=0
disable   v.使残废=0
disabled   adj.残废的 n.残疾人=0
disadvantage   n.不利之处=0
disadvantageous   adj.不利的=0
disagree   v.意见不合，不符=0
disagreement   n.不和，不一致=0
disallow   v.不允许=0
disappear   v.失踪，消失=0
disappearance   n.消失=0
disappoint   v.使...失望=0
disappointed   adj.失望的，扫兴的=0
disappointment   n.失望=0
disapproval   n.不批准=0
disaster   n.自然灾害，祸患=0
disastrous   adj.灾难性的=0
disburse   v.支付=0
disbursement   n.支付=0
disc   n.圆盘，唱片=0
discard   v.,n.丢弃，扔掉=0
discern   v.操作别，辨明=0
discharge   v.解除，放出，卸货=0
disciplinary   adj.纪律的，学科的=0
discipline   n.训练，纪律 n.锻炼=0
disclaim   v.放弃，不承认=0
disclose   v.揭开，透露=0
discomfort   n.不安，不舒服=0
discomfortable   adj.不舒服的=0
discontinue   v.中断=0
discount   n.,v.折扣=0
discourage   v.使...泄气，阻止=0
discourse   n.演说，谈话，话语=0
discover   v.发现=0
discovery   n.发现，发现物=0
discreet   adj.周到的，慎重的=0
discreetly   adv.慎重地=0
discrepancy   n.单货不符=0
discretion   n.慎重=0
discriminate   v.区别，岐视=0
discrimination   n.辨别，岐视=0
discuss   v.讨论=0
discussion   v.讨论，商议=0
disdain   v.轻视=0
disease   n.疾病=0
disgrace   n.耻辱 v.使受辱=0
disgraceful   adj.耻辱的，受辱的=0
disguise   v.,n.伪装，掩饰=0
disgust   n.厌恶 v.使讨厌=0
disgustful   adj.令人生厌的=0
dish   n.盘子，碟子=0
dishonorable   adj.不名誉的=0
dishonor   n.耻辱 v.凌辱=0
disillusion   v.使觉醒，幻灭=0
disinclined   adj.不愿意的=0
disinfectant   n.消毒剂=0
disintegration   n.分散，解体=0
dislike   v.,n.厌恶=0
disloyal   adj.不忠的=0
disloyalty   adj.不忠=0
dismal   adj.阴郁的，沉闷的=0
dismay   v.使沮丧 n.沮丧=0
dismiss   v.解散，开除=0
dismissal   n.解散，开除=0
disobey   v.不服从=0
disorder   n.紊乱，骚乱，失调=0
disparity   n.不同，悬殊=0
dispatch   v.迅速派遣 n.快件=0
dispel   v.驱散=0
dispense   v.分配，施予=0
disperse   v.驱散，散布=0
displace   v.置换，取代=0
displacement   n.置换，替换物=0
display   v.,n.陈列，表现=0
displease   v.使生气，惹怒=0
displeasure   n.不快=0
disposal   n.处置，对付=0
dispose   v.处置，对付，解决=0
disposed   adj.有...倾向的=0
disposition   n.布置，处置=0
dispute   v.争论，质疑 n.争论=0
disregard   v.,n.无视，不顾=0
dissatisfaction   n.不满=0
dissatisfy   v.使不满=0
dissimilar   adj.不同的=0
dissipate   v.驱散，消耗，浪费=0
dissolve   v.溶解，使终结=0
distance   n.距离，远处=0
distant   adj.远方的，疏远的=0
distillation   n.蒸馏=0
distinct   adj.不同的，明显的=0
distinction   n.差别，非凡=0
distinctly   adv.明晰地，清楚地=0
distinguish   v.辨别，认出=0
distinguished   adj.尊贵的，尊敬的=0
distort   v.扭曲，歪曲=0
distortion   n.曲解，失真，变形=0
distract   v.分神，迷惑=0
distraction   n.分心=0
distress   n.苦恼，不幸=0
distribute   v.分配，分布，分销=0
distribution   n.分配，分布=0
distributor   n.分销商=0
distributorship   n.分销权=0
district   v.区，区域，地区=0
disturb   v.打扰，打乱，使烦恼=0
disturbance   n.干扰，动乱=0
disunite   v.使分裂=0
disuse   v.,n.废止=0
ditch   n.沟，渠，下水道=0
ditto   n.同上=0
dive   v.潜水，跳水，俯冲=0
diver   n.潜水员，跳水运动员=0
diverge   v.分歧，离题=0
divergence   n.分歧=0
diverse   adj.不同的，分歧的=0
diversion   n.转移，消遣=0
diversity   n.多样化=0
divert   v.使转向，消遣=0
divide   v.分开，分享，分裂=0
divine   adj.神的，神圣的=0
division   n.划分，部分=0
divorce   v.离婚，使脱离=0
dizzy   adj.晕眩的=0
do   v.做，干，足够，制作=0
dock   n.码头=0
doctor   n.医生，博士=0
doctrine   n.教义，学说=0
document   n.文件，公文=0
documentary   adj.文化的=0
documentation   n.提供文件=0
dodge   v.躲避=0
dog   n.狗=0
doggedly   adv.顽固地=0
doll   n.玩偶，娃娃=0
dollar   n.元，美元=0
domain   n.领土，领域=0
dome   n.圆顶，穹窿=0
domestic   adj.家里的，国内的=0
dominant   adj.统治的=0
dominate   v.统治，支配，占优势=0
donate   v.捐献=0
donation   n.捐献=0
donkey   n.驴，笨蛋=0
doom   n.命运，判决 v.命定=0
door   n.门，(一户)人家=0
doorway   n.门口，门道=0
dormitory   n.集体宿舍=0
dose   n.剂量，一服药=0
dot   n.点，圆点=0
double   adj.两倍的，双重的=0
doubt   v.,n.怀疑，疑惑=0
doubtful   adj.怀疑的，可疑的=0
doubtless   adv.无疑地，大约=0
dough   n.面团=0
dove   n.鸽子=0
down   adv.向下，下降=0
downstairs   adv.在楼下=0
downtown   n.闹市 adv.去市里=0
downward   adj.向下的，下坡的=0
downwards   adv.向下，以下=0
doze   v.打瞌睡=0
dozen   n.一打=0
draft   n.草案，草稿，穿堂风=0
drag   v.拖，拽=0
dragon   n.龙=0
drain   v.排水，耗竭，泄=0
drainage   v.排水系统，污水=0
drama   n.戏剧，剧本=0
dramatic   adj.戏剧性的，显著的=0
dramatist   n.戏剧家=0
dramatize   v.使戏剧化=0
drastic   adj.激烈的，严厉的=0
draw   v.画，拉，吸引=0
drawback   n.不利，欠缺=0
drawer   n.抽屉=0
drawing   n.素描，绘画，图样=0
dread   v.,n.恐惧，担心=0
dreadful   adj.可怕的，糟糕的=0
dream   n.梦，梦想 v.做梦=0
dreary   adj.疲劳的=0
drench   v.浸泡，充满=0
dress   n.服装 v.穿衣=0
dressing   n.打扮，调味品=0
drift   v.漂流，游荡=0
drill   n.钻头，操练 v.训练=0
drink   v.喝，饮 n.饮料，酒=0
drip   v.滴下，流下=0
drive   v.驾驶，乘车 n.车道=0
driver   n.司机=0
droop   v.下垂=0
drop   v.落下 n.滴，下降=0
dropout   n.中途退出者=0
drought   n.旱灾=0
drown   v.淹死=0
drug   n.药物，麻醉剂=0
drugstore   n.零食店=0
drum   n.鼓 v.敲鼓=0
drunk   adj.喝醉的=0
drunkard   n.醉鬼=0
dry   adj.干的，枯燥的=0
dubious   adj.怀疑的=0
duck   n.鸭子=0
due   adj.到期的，预定的=0
duke   n.公爵=0
dull   adj.沉闷的，钝的=0
duly   adv.按期地=0
dumb   adj.哑的=0
dummy   n.傀儡=0
dump   v.倾倒 n.垃圾堆=0
dumping   n.倾销=0
dung   n.粪=0
dungeon   n.地牢=0
duplicate   adj.二重的，复制的=0
durable   adj.持久的，耐用的=0
duration   n.期间，待续时间=0
during   prep.在...期间=0
dusk   n.黄昏=0
dust   n.尘土，粉末 v.掸土=0
dustbin   n.簸箕=0
dusty   adj.沾满灰尘的=0
duty   n.责任，义务，关税=0
duty-free   adj.免税的=0
dwarf   n.矮子，侏儒=0
dwell   v.居住=0
dweller   n.居住者，住客=0
dwelling   n.住宅=0
dye   n.染料 v.染色=0
dynamic   adj.动力的，动态的=0
dynasty   n.朝代，王朝=0
each   adj.,adv.名，每个=0
eager   adj.热切的，渴望的=0
eagle   n.鹰=0
ear   n.耳朵，穗=0
earl   n.伯爵=0
early   adj.早的，初期的=0
earmark   n.标记，特征=0
earn   v.挣钱，赢得=0
earnest   adj.认真的，诚恳的=0
earnings   n.收入，赚得的钱=0
earphone   n.耳机=0
earth   n.地球，地上，泥土=0
earthly   adj.世俗的=0
earthquake   n.地震=0
ease   n.安逸，轻易=0
easily   adv.容易地，安逸地=0
east   adj.东方的 n.东方=0
easter   n.复活节=0
eastern   adj.东的，朝东的=0
eastward   adv.向东=0
easy   adj.容易的，轻松的=0
easy-going   adj.逍遥自在的=0
eat   v.吃=0
eccentric   adj.性格怪僻的=0
eccentricity   n.怪僻=0
echo   n.回声，反响，共呜=0
eclipse   n.(日、月)食，蚀=0
ecology   n.生态学=0
economic   adj.经济的，经济学的=0
economical   adj.节省的，经济的=0
economically   adv.经济上=0
economics   n.经济学=0
economize   v.节省=0
economy   n.经济，节约=0
ecstasy   n.狂喜=0
edge   n.边，边缘，刀刃=0
edit   v.校订，编辑=0
edition   n.片(本)=0
editor   n.编辑，编者=0
editorial   n.社论=0
educate   v.教育=0
education   n.教育，训练=0
educational   adj.教育的=0
eel   n.鳝鱼=0
effect   n.后果，效力 v.导致=0
effective   adj.有效的=0
effectively   adv.有效地=0
effectiveness   n.有效=0
efficiency   n.效率，功效=0
efficient   adj.效率高的=0
effort   n.努力，尽力，成果=0
e. g.   (缩)例如=0
egg   n.卵，蛋，鸡蛋=0
eggplant   n.茄子=0
egypt   n.埃及=0
egyptian   adj.,n.埃及人(的)=0
eight   num.八=0
eighteen   num.十八=0
eighth   num.第八，八分之一=0
eighty   num.八十=0
either   adj.二者之一 adv.也=0
eject   v.喷射=0
ejection   n.喷射=0
elaborate   v.,adj.详尽阐述=0
elaboration   n.详尽阐述=0
elapse   v.(时间)消逝=0
elastic   adj.弹性的，灵活的=0
elasticity   n.弹性=0
elbow   n.肘，弯管=0
elder   adj.年长的，资格老的=0
elect   v.选举 adj.当选的=0
election   n.选举=0
electric   adj.电的，电力的=0
electrical   adj.电的=0
electrician   n.电工=0
electricity   n.电=0
electrify   v.充电，电气化=0
electron   n.电子=0
electronic   adj.电子的=0
electronics   n.电子学=0
elegance   n.优雅=0
elegant   adj.优雅的，典雅的=0
element   n.成分，元素=0
elemental   adj.自然力的，基本的=0
elementary   adj.基础的，初步的=0
elephant   n.象=0
elevate   v.提升，抬高=0
elevation   n.海拔，提高，崇高=0
elevator   n.电梯=0
eleven   num.十一=0
eleventh   num.第十一=0
eliminate   v.消灭，删除=0
elimination   n.消灭，删除=0
elliptical   adj.椭圆的，省略的=0
ellipsis   n.省略=0
eloquence   n.雄辩，口才=0
eloquent   adj.雄辩的，有口才的=0
else   adj.别的 adv.否则=0
elsewhere   adv.在别处=0
elusive   adj.躲闪的=0
email   n.電子郵件=0
emancipate   v.解放=0
emancipation   n.解放=0
embargo   n.禁运=0
embark   v.登陆=0
embarrass   v.使窘，使为难=0
embarrassing   adj.令人尴尬的=0
embarrassment   n.窘迫，尴尬=0
embassy   n.使馆=0
embody   v.体现，包含=0
embrace   v.拥抱，接受，包括=0
embroider   v.绣=0
embroidery   v.刺绣(品)=0
emerge   v.出现，暴露=0
emergency   n.紧急情况，急诊=0
emigrant   n.移居国外的人=0
emigrate   v.移居国外，移民=0
emigration   n.向国外移民=0
eminent   adj.杰出的，突出的=0
emission   n.发射，散发=0
emit   v.发射，散发=0
emotion   n.感情，情绪=0
emotional   adj.感情的，激动的=0
emperor   n.皇帝=0
emphasis   n.强调，重点，重读=0
emphasize   v.强调，着重=0
emphatic   adj.强调的，着重的=0
empire   n.帝国，财团=0
empirical   adj.经验的=0
employ   v.雇用，使用，从事=0
employee   n.雇员=0
employer   n.雇主=0
employment   n.职业，就业=0
emptiness   n.空虚，空白=0
empty   adj.空的，空虚的=0
enable   v.使能够，使可能=0
enchant   v.迷住，陶醉=0
encircle   v.环绕，包围=0
enclose   v.围住，圈起，封入=0
enclosure   n.围绕，附件=0
encounter   v.面临，遭遇=0
encourage   v.鼓舞，鼓励，助长=0
encouragement   n.鼓舞，鼓励=0
encyclopaedia   n.百科全书=0
end   n.结尾 v.终止，结束=0
endanger   v.危及，危害=0
endeavor   v.,n.努力，尽力=0
ending   n.结局=0
endless   adj.无穷无尽的=0
endorse   v.背签=0
endorsement   n.背书=0
endow   v.资助，赋予，授予=0
endurance   n.忍耐力，耐用=0
endure   v.忍受，容忍，持久=0
endures   n.最终用户=0
enemy   n.敌人，对手=0
energetic   adj.精力旺盛的=0
energy   n.精力，活力，能量=0
enforce   v.实施，强制=0
engage   v.从事，雇用，吸引=0
engaged   adj.占用的，从事..的=0
engagement   n.约束，约会，婚约=0
engine   n.发动机，火车头=0
engineer   n.工程师=0
engineering   n.工程=0
england   n.英格兰，英国=0
english   n.,adj.英国的，英语=0
englishman   n.英国人=0
engrave   v.刻上，牢记=0
engraving   adj.雕刻=0
engulf   v.吞没=0
enhance   v.提高，增加=0
enhancement   n.提高=0
enjoy   v.欣赏，享有，享受=0
enjoyable   adj.愉快的=0
enjoyment   n.享受，乐趣=0
enlarge   v.扩大，扩展，放大=0
enlargement   n.扩大=0
enlighten   v.启发，教导=0
enlightening   adj.给人启发的=0
enormous   adj.巨大的，庞大的=0
enough   adj.,adv.足够(的)=0
enquire   v.询问=0
enquiry   v.询问=0
enrich   v.使富裕=0
enroll   v.登记，招收=0
enrolment   n.招收=0
en route   adv.在途中=0
ensure   v.保证，担保，保护=0
entail   v.遗留给，引起=0
enter   v.进入，加入=0
enterprise   n.事业，企业=0
entertain   v.招待，使欢乐=0
entertainment   n.招待，娱乐=0
enthusiasm   v.热情，热心=0
enthusiastic   adj.热情的，热心的=0
entire   adj.完全的，全部的=0
entirely   adv.完全地，彻底地=0
entirety   n.全部=0
entitle   v.给...权利，资格=0
entrance   n.进入，入口=0
entreat   v.恳求，请求=0
entrust   v.委托=0
entry   n.进入，入口，词条=0
enumerate   v.列举=0
envelop   v.包，围绕=0
envelope   n.信封=0
envious   adj.嫉妒的=0
environment   n.环境=0
environmental   adj.环境的=0
envy   v.,n.嫉妒，羡慕=0
epidemic   adj.传染的 n.传染病=0
episode   n.事件，情节，插曲=0
epoch   n.时代，纪元=0
epoch-making   adj.划时代的=0
equal   adj.相等的，胜任的=0
equality   n.平等，相等=0
equally   adv.相等地，相同地=0
equation   n.等式，方程式=0
equator   n.赤道=0
equilibrium   n.平衡，均衡=0
equip   v.装备，配备=0
equipment   n.设备，器材，装置=0
equivalence   n.相等，等值=0
equivalent   adj.相等的，等值的=0
era   n.时代，年代=0
eradicate   v.根除=0
eradication   n.根除=0
erase   v.擦掉，抹去=0
erasure   n.抹去=0
erect   v.树立，建立，竖立=0
erection   n.竖立，建立=0
erosion   n.腐蚀，侵蚀=0
err   v.犯错误=0
errand   n.差事，差使=0
error   n.错误，过失=0
erupt   v.喷发，爆发=0
eruption   n.喷发，爆发=0
escalator   n.电动扶梯=0
escape   v.逃跑，避免，被遗忘=0
escort   v.护送 n.护卫队=0
especial   adj.特别的，专门的=0
especially   adv.特别地，专门地=0
essay   n.散文，论文，小品文=0
essayist   n.散文作家=0
essence   n.本质，情髓，香精=0
essential   adj.必需的，本质的=0
essentially   adj.本质上，实质上=0
establish   v.建立，设立，确立=0
established   adj.已建立的=0
establishment   n.建立，组织=0
estate   n.房地产，财产=0
esteem   v.,n.尊重=0
estimate   v.,n.估算，预算=0
estimation   n.估算，估计=0
etc.   (缩)等等=0
eternal   adj.永恒的，无休止的=0
europe   n.欧洲=0
european   n.,adj.欧洲人(的)=0
evaluate   v.估价，评价=0
evaluation   n.估价，评价=0
evaporate   v.蒸发，脱水，消失=0
evaporation   n.蒸发，升华=0
eve   n.前夕，前夜=0
even   adj.平坦的，均匀的=0
evening   n.傍晚，晚上=0
evenly   adv.平坦地，均匀地=0
event   n.事件，场合，比赛=0
eventful   adj.多事的=0
eventually   adv.最终，终于=0
ever   adv.曾经，总是，究竟=0
everlasting   adj.永久的，持久的=0
every   adj.每个，所有的=0
everybody   pron.人人，每人=0
everyday   adj.每日的，日常的=0
everyone   pron.人人，每人=0
everything   pron.事事，一切=0
everywhere   adv.处处，到处=0
evidence   n.证据，迹象=0
evident   adj.明显的，明白的=0
evidently   adv.明显地，显然=0
evil   adj.坏的，邪恶的=0
evolution   v.发展，渐进，进化=0
evolve   v.发展，进化=0
ex   prep.在...交货=0
exact   adj.精确的，精密的=0
exactly   adv.确切地，正是=0
exaggerate   v.夸张，夸大=0
exaggerated   adj.言过其辞的=0
exaggeration   n.夸张=0
exalt   v.抬高，发扬=0
exalted   adj.高贵的，得意的=0
exam   n.考试=0
examination   n.检查，考试=0
examine   v.检查，细看，考试=0
example   n.例子，榜样=0
exasperate   v.激怒，恶化=0
exasperation   n.愤慨，加剧=0
exceed   v.超过，过度=0
exceedingly   adv.非常，极端地=0
excel   v.胜过，优于=0
excellence   n.优秀，卓越=0
excellent   adj.优秀的，卓越的=0
except   prep.除...外 v.除外=0
exception   n.除外，例外=0
exceptional   adj.异常的，例外的=0
excess   n.过量，过剩=0
excessive   adj.过分的，极度的=0
exchange   v.交换，兑换 n.交易=0
excite   v.刺激，使兴奋=0
excited   adj.兴奋的=0
excitement   n.兴奋，激动=0
exciting   adj.令人激动的=0
exclaim   v.呼喊，感叹=0
exclamation   n.呼喊，感叹=0
exclude   v.排除，拒绝考虑=0
exclusion   n.排除=0
exclusive   adj.独有的=0
exclusively   adv.独占地=0
exclusivity   n.独家经营权=0
excursion   n.短途游览=0
excuse   v.原谅 n.借口=0
execute   v.执行，实施，处决=0
execution   n.执行，处决=0
executive   adj.执行的 n.执行者=0
exemplify   v.举例说明=0
exempt   v.免除=0
exercise   n.锻炼，练习，运用=0
exercise-book   n.练习簿=0
exert   v.尽(力)，发挥=0
exertion   n.尽力，竭力=0
exhaust   v.竭尽，用完=0
exhausted   adj.精疲力竭的=0
exhaustion   n.用尽，详述=0
exhaustive   adj.详尽的=0
exhibit   v.展出,显示 n.展览品=0
exhibition   n.展览会，表现=0
exile   v.放逐 n.流亡者=0
exist   v.存在，生存=0
existence   n.存在，生存=0
existing   adj.现存的，已有的=0
exit   n.出口，安全门，离开=0
exonerate   v.昭雪，解除=0
exoneration   n.免罪，免除=0
expand   v.扩张，膨胀，扩充=0
expansion   n.扩张，扩大=0
expect   v.盼望，期待，预料=0
expectation   v.期待，前程=0
expedience   n.便利，权宜之计=0
expedient   adj.方便的，临时的=0
expedite   v.加快，急送=0
expedition   n.探险，考察队=0
expel   v.驱逐，开除=0
expend   v.花费，消耗=0
expenditure   n.支出，费用=0
expense   n.支出，开支=0
expensive   adj.昂贵的，高价的=0
experience   n.,v.经历，经验=0
experienced   adj.有经验的=0
experiment   n.,v.实验，试验=0
experimental   adj.实验的=0
experimentation   n.实验=0
expert   n.专家，能手=0
expertise   n.专家队伍(总称)=0
expiration   n.期满=0
expire   v.到期，断气=0
expiry   n.逾期=0
explain   v.解释，说明=0
explanation   n.说明，解释=0
explanatory   adj.说明的=0
explicit   adj.清楚的，明晰的=0
explicitly   adv.清晰地=0
explode   v.爆炸，激增=0
exploit   v.开发，利用，剥削=0
exploitation   n.开发，利用=0
exploration   n.勘探，考察=0
